id_str,posted_by,type,score,ratio
1786770618995658994,CBSNews,neutral,-0.0302268,-0.0118537
1786770593661997242,CBSNews,positive,0.475986,0.797713
1786770583323021821,CBSNews,positive,0.222519,0.765025
1786770181655601504,CBSNews,positive,0.156712,0.657993
1786770159820005641,CBSNews,positive,0.262772,0.892491
1786767741971562593,CBSNews,positive,0.10121,0.724647
1786762706634015000,CBSNews,positive,0.092052,0.523347
1786757675599962247,CBSNews,negative,-0.241771,-0.428511
1786752642779074825,CBSNews,positive,0.384787,0.642178
1786752627859972158,CBSNews,neutral,0.0345478,0.144831
1786752610059391333,CBSNews,negative,-0.473918,-1
1786752601750376865,CBSNews,negative,-0.26652,-0.787539
1786752590509756714,CBSNews,positive,0.258198,0.56712
1786752578652451311,CBSNews,neutral,-0.0148039,0.351637
1786752553792757912,CBSNews,positive,0.452872,0.93391
1786752543378288886,CBSNews,positive,0.731331,1
1786747607072588077,CBSNews,positive,0.251778,0.840755
1786742577883922894,CBSNews,negative,-0.162268,-0.443258
1786737542433235247,CBSNews,positive,0.0769383,0.322784
1786732507146096874,CBSNews,negative,-0.0692764,-0.319842
1786727475797454981,CBSNews,positive,0.0959551,0.500218
1786722443807133965,CBSNews,positive,0.350011,0.811882
1786712377024467193,CBSNews,positive,0.0654958,0.463694
1786697421780590877,CBSNews,positive,0.0867504,0.667754
1786697392709829072,CBSNews,positive,0.264165,0.805593
1786697278608007274,CBSNews,negative,-0.14255,-0.457943
1786682175397482700,CBSNews,positive,0.158088,0.249535
1786667077157167531,CBSNews,neutral,0.0216419,-0.0784651
1786651978182832250,CBSNews,neutral,-0.0364646,-0.212676
1786636879317651458,CBSNews,positive,0.199046,0.755811
1786623035765674491,CBSNews,positive,0.185513,0.79209
1786607937693065677,CBSNews,neutral,0.0361676,0.167045
1786600386595340404,CBSNews,positive,0.0642681,0.555374
1786592840316809297,CBSNews,positive,0.0503946,0.2043
1786590601510527145,CBSNews,positive,0.129302,1
1786577737907331173,CBSNews,negative,-0.144435,-0.552168
1786575801950875775,CBSNews,neutral,-0.0141339,-0.0485324
1786570187136696622,CBSNews,positive,0.140927,0.454668
1786567358376468797,CBSNews,positive,0.158088,0.249535
1786548679886635230,CBSNews,positive,0.0561157,0.228296
1786544795374018727,CBSNews,positive,0.344588,0.808811
1786543937110384977,CBSNews,negative,-0.10477,-0.224454
1786542584979947689,CBSNews,positive,0.182668,0.884538
1786537973783134704,CBSNews,negative,-0.148378,-0.653668
1786537963200917807,CBSNews,neutral,-0.00607438,-0.0285684
1786536195431800915,CBSNews,positive,0.109476,0.821153
1786532299548336195,CBSNews,negative,-0.110688,-0.273674
1786532288836104356,CBSNews,positive,0.220182,0.884993
1786532277586895041,CBSNews,negative,-0.106673,-0.58386
1786532265264025793,CBSNews,positive,0.411505,0.865231
1786532216366837872,CBSNews,neutral,-0.029101,-0.458657
1786532205394538613,CBSNews,neutral,0.01763,0.0697825
1786528624914354189,CBSNews,negative,-0.228596,-0.741361
1786513173681705358,CBSNews,negative,-0.289049,-0.478063
1786510543840305638,CBSNews,positive,0.0621591,0.49041
1786498504229097940,CBSNews,positive,0.0589493,0.398861
1786491692243202307,CBSNews,positive,0.547317,1
1786486150128959746,CBSNews,negative,-0.200874,-0.709646
1786483035807924691,CBSNews,positive,0.111803,1
1786470686501859631,CBSNews,negative,-0.199344,-0.612558
1786470389075394979,CBSNews,negative,-0.592824,-1
1786470168442421649,CBSNews,negative,-0.26652,-0.787539
1786450650290589705,CBSNews,positive,0.165742,0.6243
1786445618602238394,CBSNews,positive,0.17996,1
1786442989352488968,CBSNews,negative,-0.156703,-0.841657
1786433034838778357,CBSNews,neutral,0.0349384,0.107376
1786432766508240971,CBSNews,negative,-0.602236,-0.884759
1786427894773715441,CBSNews,positive,0.185131,1
1786420451549278239,CBSNews,neutral,-0.0356326,-0.153803
1786418624564953113,CBSNews,negative,-0.160272,-0.509525
1786415420527825133,CBSNews,negative,-0.317383,-0.818356
1786410401531396115,CBSNews,neutral,0.0070821,0.0421678
1786406612434817335,CBSNews,negative,-0.218829,-0.720599
1786405692158410934,CBSNews,positive,0.148121,1
1786402837066285371,CBSNews,neutral,-0.0304923,0.00108475
1786399062071099611,CBSNews,positive,0.129612,0.557432
1786395638902542483,CBSNews,positive,0.239334,0.781103
1786395627489743081,CBSNews,positive,0.0633964,0.280136
1786395599081722064,CBSNews,negative,-0.16339,-0.641974
1786395591053807995,CBSNews,positive,0.190754,0.609211
1786390251763618073,CBSNews,positive,0.176047,0.895982
1786385220188410238,CBSNews,neutral,-0.0495744,-0.0177593
1786383307451535684,CBSNews,positive,0.346198,1
1786383289281884177,CBSNews,negative,-0.376136,-0.876627
1786383280075309461,CBSNews,positive,0.0565681,0.184576
1786383266808815843,CBSNews,positive,0.178719,0.331952
1786383256838975918,CBSNews,negative,-0.464038,-1
1786383243043852609,CBSNews,neutral,-0.0228181,-0.204472
1786380188227395852,CBSNews,negative,-0.153759,-0.765243
